Alimento,Valor energético (Kcal),Agua (g),Proteínas (g),Lípidos totales (g),Colesterol (mg),Saturados (g),Monoinsaturados (g),Polininsaturados (g),Trans (g),18:2 cis Linoléico (g),18:3 cis Alfa linolénico (ALA) (g),20:4 Araquidónico (g),20:5 n-3 Eicosapentae- noico (EPA) (g),22:6 n-3 Docosahexae- noico (DHA) (g),Carbohidratos disponibles (g),Carbohidratos totales (g),Azúcar total (g),Azúcar agregado (g),Fibra alimentaria (g),Alcohol (g),Cenizas (g),Sodio (mg),Potasio (mg),Calcio (mg),Cobre (mg),Fósforo (mg),Hierro (mg),Magnesio (mg),Zinc (mg),Niacina (mg),Folato EFD (µg),Ácido fólico (µg),"Vitamina A, (µg)
RAE",Retinol (µg),Tiamina (mg),Riboflavina (mg),Vitamina B-12 (µg),Vitamina C (mg),Vitamina D (µg)
"Pan blanco, tipo molde, lacteado",244,35.3,9.4,2.2,0,0.73,0.87,0.67,0,0.63,0.070,0,0,0,46.7,50.2,3.5,3.5,3.5,0,x,415,146,57,0.115,115,2.97,19,0.64,1.80,125,49,22,21,0.405,0.383,0.08,0.2,0
"Ravioles deshidratados, envasa- dos, crudos",319,26.9,9.1,7.2,5.0,3.10,2.00,2.00,0,1.80,0.100,0,0,0,54.4,56.8,0,0,2.4,0,x,448,146,375,0.04,183,1.14,29,1.2,6.00,8,0,225,225,0.500,0.500,0,0,0
"Ravioles frescos, artesanal, crudos",295,46.3,13.7,8.0,45,4.00,2.30,0.97,0.17,0.84,0.075,0,0,0,42.1,44.8,1.5,0,2.7,0,x,364,146,141,0.04,183,1.14,29,1.2,1.35,21,0,77,69,0.341,0.126,0.30,0,0.37
"Ravioles frescos, envasados, cru- dos",272,37.5,8.8,6.3,10.0,3.00,2.30,0.97,0.17,0.84,0.075,0,0,0,44.9,47.4,1.5,0,2.5,0,x,739,146,50,0.04,183,1.14,29,1.2,1.35,15,0,77,69,0.341,0.126,x,0,0
Yogur descremado bebible,36,79.0,2.9,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,6.0,6.0,5.9,0,0,0,x,115,146,135,0.01,89,0.08,12,0.55,0.14,7,0,172,172,0.028,0.136,0.34,0.5,1.2
Yogur entero bebible saborizado,76,79.0,2.9,1.8,10.0,1.10,0.63,0.05,0.05,0.05,0.005,0,0,0,12.0,12.0,12.0,6.1,0,0,x,97,146,119,0.01,89,0.08,12,0.55,0.14,7,0,71,71,0.028,0.136,0.34,0.5,0.58
Panko (pan rallado japonés),314,17.9,10.7,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,67.8,71.4,3.6,3.6,3.6,0,x,321,143,36,0.09,136,3.30,22,1.04,1.90,200,106,0,0,0.464,0.131,0,0,0
"Huevo de gallina, clara, cruda",51,87.1,11.6,0.2,0,0.00,0.00,0.00,0,0.00,0,0,0,0,0.7,0.7,0.7,0,0,0,1.1,186,142,10,0.023,28,0.86,11,0.03,0.11,4,0,0,0,0.004,0.439,0.09,0,0
"Huevo de gallina, clara, hervida",51,87.1,11.6,0.2,0,0.00,0.00,0.00,0,0.00,0,0,0,0,0.7,0.7,0.7,0,0,0,1.1,186,142,10,0.023,28,0.86,11,0.03,0.10,3,0,0,0,0.003,0.417,0.08,0,0
"Pepino, crudo",12,96.1,0.7,0.1,0,0.08,0.01,0.02,0,0.01,0.010,0,0,0,2.0,2.7,1.4,0,0.7,0,0.40,13,141,23,0.071,24,0.30,12,0.17,0.10,14,0,4,0,0.044,0.057,0,6.1,0
Torta de ricotta (panadería),363,29.4,7.0,17.7,63,7.73,7.06,2.23,0.14,2.04,0.086,0,0,0,44.0,45.6,23.6,23.4,1.0,0,1.0,87,141,117,0.0,151,1.50,15,0.5,0.75,77,39,64,63,0.202,0.249,0.50,0,0.30
Yogur con fitoesteroles,46,89.7,2.9,1.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,6.4,6.4,6.4,1.8,0,0,1.02,47,141,118,0.013,88,0,16,0.83,0.11,11,0,61,61,0.042,0.200,0.53,0,1.4
Yogur descremado,36,79.0,2.9,0.0,3.0,0.00,0.00,0.00,0,0.00,0,0,0,0,6.0,6.0,6.0,0,0,0,1.02,47,141,118,0.013,88,0,16,0.83,0.11,11,0,61,61,0.042,0.200,0.53,0,1.4
Yogur descremado con cereales,69,82.9,4.5,0.3,0,0.21,0.00,0.00,0,0.00,0,0,0,0,12.0,12.2,6.0,1.5,0.2,0,x,60,141,118,0.013,88,0,16,0.83,0.11,11,0,97,97,0.042,0.200,0.53,0,0.72
Yogur descremado con frutas y ce- reales,73,82.0,4.3,0.6,2,0.30,0.20,0.00,0,0.00,0,0,0,0,12.7,13.2,11.2,3.4,0.5,0,x,61,141,420,0.013,101,0,16,0.83,0.11,11,0,115,115,0.042,0.200,0.53,0,2.08
"Yogur descremado fortificado con
calcio",64,85.6,4.0,1.3,5.2,0.84,0.36,0.04,0.04,0.03,0.004,0,0,0,9.2,9.2,9.2,4.7,0,0,1.02,47,141,118,0.013,88,0,16,0.83,0.11,11,0,61,61,0.042,0.200,0.53,0,1.4
Yogur fortificado con hierro,87,81.4,3.5,3.3,13,2.10,0.89,0.09,0.10,0.08,0.009,0,0,0,11.0,11.0,11.0,6.3,0,0,1.02,47,141,118,0.013,88,0,16,0.83,0.11,11,0,61,61,0.042,0.200,0.53,0,1.4
Masa de prepizza de panadería o envasada,241,39.0,6.9,3.3,0,0.38,0.73,1.85,0,1.83,0.027,0,0,0,45.9,50.4,0.7,0.3,2.9,0,1.70,523,139,8,0.11,97,2.85,16,0.79,1.97,202,99,1,0,0.473,0.151,0,0.3,0
"Leche descremada fluida, con 50% más de proteínas",43,89.7,4.5,0.4,0,0.30,0.10,0.00,0,0.00,0,0,0,0,5.4,5.4,5.4,0,0,0,x,53,138,121,0,94,0,11,0,0,5,0,60,60,0.030,0.185,0.50,0,1
"Leche fórmula etapa 3, sin lacto- sa, en polvo",496,9.6,21.2,26.9,65,7.70,9.60,2.69,0.77,1.99,0.700,0,0,0,42.3,42.3,36.5,0,0,0,x,342,138,942,0.01,561,6.15,11,5.4,0.09,127,51,457,457,0.030,0.185,1.90,38.5,3.5
"Leche parcialmente descremada fluida, con Fitoesteroles y Ác.
Grasos Omega 3, fortificada con
calcio y vitaminas A, D y E",53,89.6,3.3,2.2,5.2,1.20,0.60,0.30,0,0.26,0.040,0,0.013,0.089,4.9,4.9,4.9,0,0,0,x,49,138,117,0.008,94,0.08,11,0.37,0.09,5,0,66,66,0.030,0.185,0.50,0.2,1.00
"Leche parcialmente descremada fluida, deslactosada, fortificada con vitaminas A y D",44,90.1,3.2,1.4,6.5,0.95,0.42,0.05,0.09,0.04,0.006,0,0,0,4.6,4.6,4.6,0,0,0,0.68,55,138,120,0.008,94,0.08,11,0.37,0.09,5,0,60,60,0.030,0.185,0.50,0.2,1.00
"Leche parcialmente descremada
fluida, fortificada con hierro",44,90.1,3.2,1.4,6.5,0.95,0.42,0.05,0.09,0.04,0.006,0,0,0,4.6,4.6,4.6,0,0,0,0.68,55,138,120,0.008,94,1.50,11,0.37,0.09,15,6,69,69,0.030,0.185,0.50,8.0,0.88
"Leche parcialmente descremada fluida, fortificada con vitaminas A y D",44,90.1,3.2,1.4,6.5,0.95,0.42,0.05,0.09,0.04,0.006,0,0,0,4.6,4.6,4.6,0,0,0,0.68,55,138,120,0.008,94,0.08,11,0.37,0.09,5,0,60,60,0.030,0.185,0.50,0.2,1.00
"Leche parcialmente descremada fluida, fortificada con vitaminas A, D, C y ác. fólico",44,90.1,3.2,1.4,6.5,0.95,0.42,0.05,0.09,0.04,0.006,0,0,0,4.6,4.6,4.6,0,0,0,0.68,55,138,120,0.008,94,0.08,11,0.37,0.09,27,13,64,64,0.030,0.185,0.50,7.0,1.00
"Leche parcialmente descremada
fluida, sin fortificación",44,90.1,3.2,1.4,6.5,0.95,0.42,0.05,0.09,0.04,0.006,0,0,0,4.6,4.6,4.6,0,0,0,0.68,55,138,120,0.008,94,0.08,11,0.37,0.09,5,0,20,19,0.030,0.185,0.50,0.2,0.03
"Leche parcialmente descremada, sabor chocolate o dulce de leche, fortificada con vitaminas A y D, lista para consumir",67,84.9,2.7,1.5,6.5,0.95,0.42,0.05,0.09,0.04,0.006,0,0,0,10.9,11.0,10.9,6.2,0.1,0,x,69,138,120,0,94,0.08,11,0.37,0.09,5,0,63,63,0.030,0.185,0.50,0,0.55
Probióticos descremados,39,89.0,2.8,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,7.0,7.0,7.0,2.2,0,0,x,47,138,108,0.08,93,0.08,10,1.7,0.08,5,0,20,20,0.030,0.140,0.33,0,1.00
Probióticos enteros,84,78.0,2.7,1.0,3.0,0.60,0.30,0.04,0.06,0.03,0.010,0,0,0,16.0,16.0,16.0,10.0,0,0,x,47,138,108,0.08,93,0.08,10,1.7,0.08,5,0,20,20,0.030,0.140,0.32,0,1.00
"Queso pasta dura, PROMEDIO **",350,41.0,25.6,26.6,69,17.08,7.39,0.77,0.80,0.54,0.231,0,0,0,2.1,2.1,0.6,0,0,0,4.71,727,138,756,0.026,496,0.52,28,3.23,0.16,10,0,236,230,0.019,0.321,1.46,0,0.80
Queso Provolone,350,41.0,25.6,26.6,69,17.08,7.39,0.77,0.80,0.54,0.231,0,0,0,2.1,2.1,0.6,0,0,0,4.71,727,138,756,0.026,496,0.52,28,3.23,0.16,10,0,236,230,0.019,0.321,1.46,0,0.80
Queso Sbrinz,350,41.0,25.6,26.6,69,17.08,7.39,0.77,0.80,0.54,0.231,0,0,0,2.1,2.1,0.6,0,0,0,4.71,727,138,756,0.026,496,0.52,28,3.23,0.16,10,0,236,230,0.019,0.321,1.46,0,0.80
Paté / picadillo,315,53.9,14.2,28.0,255,9.57,12.36,3.16,0,2.75,0.210,0,0,0,1.5,1.5,0,0,0,0,2.2,697,138,70,0.4,200,5.50,13,2.85,3.30,60,0,991,991,0.030,0.600,3.20,2.0,0
"Huevo de gallina, entero, crudo",156,74.9,12.0,11.8,449,3.18,4.53,2.89,0,2.32,0.054,0.284,0,0.088,0.4,0.4,0.4,0,0,0,0.95,135,138,56,0.072,213,2.53,12,1.29,0.20,47,0,160,160,0.080,0.523,0.89,0,2.00
"Huevo de gallina, entero, hervido",156,74.9,12.0,11.8,373,3.18,4.53,2.89,0,2.32,0.054,0.284,0,0.088,0.4,0.4,0.4,0,0,0,0.95,135,138,56,0.072,213,2.53,12,1.29,0.19,35,0,160,160,0.068,0.497,0.76,0,2.00
"Leche entera fluida,  fortificada
con hierro",58,88.7,3.1,2.9,10.0,1.87,0.81,0.20,0.13,0.12,0.075,0,0,0,4.8,4.8,4.8,0,0,0,0.66,57,137,123,0.025,95,1.50,10,0.3,0.09,5,0,28,27,0.046,0.169,0.45,0,0.08
"Leche entera fluida, con azúcar, lista para consumir",76,88.7,3.2,2.8,10.0,1.87,0.81,0.20,0.13,0.12,0.075,0,0,0,9.4,9.4,9.4,4.9,0,0,0.66,57,137,123,0.025,95,0.07,10,0.3,0.09,18,13,64,64,0.046,0.169,0.45,7.1,1.0
"Leche entera fluida, con CLA, for-
tificada con vitaminas A y D",56,89.5,3.0,2.7,10.0,1.66,0.97,0.07,0.27,0.06,0,0,0,0,4.8,4.8,4.8,0,0,0,x,50,137,121,0.025,95,0.07,10,0.3,0.09,5,0,75,75,0.046,0.169,0.45,0,0.65
"Leche entera fluida, con vitaminas A y D",58,88.7,3.1,2.9,10.0,1.87,0.81,0.20,0.13,0.12,0.075,0,0,0,4.8,4.8,4.8,0,0,0,0.66,57,137,123,0.025,95,0.07,10,0.3,0.09,5,0,70,70,0.046,0.169,0.45,0,0.75
"Leche entera fluida, deslactosada,
fortificada con vitaminas A y D",58,88.7,3.1,2.9,10.0,1.87,0.81,0.20,0.13,0.12,0.075,0,0,0,4.8,4.8,4.8,0,0,0,0.66,57,137,123,0.025,95,0.07,10,0.3,0.09,5,0,64,64,0.046,0.169,0.45,0,1.0
"Leche entera fluida, fortificada
con vitaminas A, D y B9",57,88.5,3.2,2.9,10.0,1.87,0.81,0.20,0.13,0.12,0.075,0,0,0,4.6,4.8,4.6,0,0,0,0.66,57,137,123,0.025,95,0.07,10,0.3,0.09,5,0,64,64,0.046,0.169,0.45,0,0.75
"Leche entera fluida, fortificada con vitaminas A, D, C, B9 y extra calcio",57,88.5,3.2,2.9,10.0,1.87,0.81,0.20,0.13,0.12,0.075,0,0,0,4.6,4.8,4.6,0,0,0,0.66,57,137,140,0.025,95,0.07,10,0.3,0.09,5,0,75,75,0.046,0.169,0.45,7.0,0.75
"Leche entera fluida, sin fortifica- ción",58,88.7,3.1,2.9,10.0,1.87,0.81,0.20,0.13,0.12,0.075,0,0,0,4.8,4.8,4.8,0,0,0,0.66,57,137,123,0.025,95,0.07,10,0.3,0.09,5,0,28,27,0.046,0.169,0.45,0,0.08
Galleta de campo,289,24.8,9.8,1.0,0,0.16,0.09,0.41,0,0.39,0.022,0,0,0,60.2,63.0,0,0,2.8,0,1.40,295,136,28,0.09,194,3.30,22,1.04,1.90,200,106,0,0,0.464,0.131,0,0,0
Queso pasta blanda doble crema,357,50.4,14.0,33.0,123,20.00,12.00,1.00,0.99,0.70,0.300,0,0,0,1.0,1.0,1.0,0,0,0,1.60,475,136,721,0.022,360,0.43,24,2.6,0.06,18,0,315,313,0.014,0.240,1.50,0,0.84
"Amaranto, hervido",96,75.2,3.8,1.6,0,0.38,0.44,0.73,0,0.72,0.111,0,0,0,16.6,18.7,0.6,0,2.1,0,0.77,6,135,47,0.149,148,2.10,65,0.86,0.24,22,0,0,0,0.015,0.022,0,1.0,0
Riñón (horno/parrilla),151,66.9,27.3,4.7,716,1.44,0.96,1.14,0.27,0.68,0.011,0.443,0,0,0,0,0,0,0,0,1.31,94,135,19,0.564,304,5.80,12,2.84,3.92,83,0,0,0,0.160,2.970,24.90,0,1.10
"Jugo de arándanos, natural",37,90.9,0.3,0.6,0,0.02,0.06,0.34,0,0.23,0.115,0,0,0,7.7,7.8,7.7,0,0.1,0,0.4,1,135,12,0.114,12,0.48,21,0.41,0.45,10,0,6,0,0.012,0.018,0,11.3,0
Galletitas dulces con chips de chocolate,480,7.4,6.0,22.0,0,6.90,12.30,1.75,0,1.66,0.088,0,0,0,64.5,67.5,32.8,32.8,3.0,0,1.27,418,134,0,0.204,63,3.22,32,0.59,1.98,96,49,0,0,0.263,0.185,0,0,0
Bizcochitos de grasa envasados,499,12.4,9.0,25.7,27,12.53,10.48,1.34,0.92,1.10,0.168,0,0,0,57.9,63.3,0.2,0,3.3,0,0.4,636,133,9,0.12,109,3.44,18,0.6,2.24,236,128,0,0,0.614,0.166,0,0,0.28
Bizcochitos de grasa envasados light,444,7.2,10.2,16.7,0,6.30,9.00,1.00,0,0.90,0.100,0,0,0,63.2,65.9,0.2,0,2.7,0,x,576,133,9,0.12,109,3.44,18,0.6,2.24,236,128,0,0,0.614,0.166,0,0,0.28
Tortitas Jachaleras,484,3.8,9.8,22.6,254,8.53,9.93,2.94,0.00,2.57,0.199,0.078,0,0,60.4,64.5,16.9,16.6,2.6,0,0.8,22,133,28,0.1,181,3.75,16,1.1,1.86,203,95,71,69,0.513,0.265,0.40,0,0.70
Azúcar morena / azúcar mascabo,393,1.3,0.1,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,98.1,98.1,97.0,97.0,0,0,0.45,28,133,83,0.047,4,0.71,9,0.03,0.11,1,0,0,0,0,0,0,0,0
Pan de viena,298,24.7,9.8,1.9,0,0.42,0.28,0.67,0.00,0.62,0.049,0,0,0,60.4,62.6,4.6,4.6,2.2,0,1.96,602,132,39,0.152,157,3.91,32,1.04,4.82,170,67,0,0,0.710,0.427,0,0,0
Queso Mascarpone,357,52.6,6.2,34.4,101,20.21,8.91,1.48,1.03,0.81,0.125,0,0,0,5.5,5.5,3.8,0,0,0,1.27,314,132,97,0.018,107,0.11,9,0.5,0.09,9,0,308,303,0.023,0.230,0.22,0,0
"Huevo de codorníz, entero, crudo",175,71.9,13.6,13.3,430,4.16,5.45,1.44,0.02,0.94,0.044,0.122,0,0,0.1,0.1,0.4,0,0,0,1.1,141,132,64,0.062,226,3.65,13,1.47,0.15,66,0,156,155,0.130,0.790,1.58,0,1.40
"Huevo de codorníz, entero, her- vido",175,71.9,13.6,13.3,430,4.16,5.45,1.44,0.02,0.94,0.044,0.122,0,0,0.1,0.1,0.4,0,0,0,1.1,141,132,64,0.062,226,3.65,13,1.47,0.14,50,0,156,155,0.111,0.751,1.34,0,1.40
"Champignones, enlatados",21,91.1,1.9,0.3,0,0.04,0.01,0.11,0,0.11,0.001,0,0,0,2.7,5.1,2.3,0,2.4,0,1.67,425,129,11,0.235,66,0.79,15,0.72,1.59,12,0,0,0,0.085,0.021,0,0,0.20
"Hongos, enlatados",21,91.08,1.9,0.3,0,0.04,0.01,0.11,0,0.11,0.001,0,0,0,2.7,5.1,2.3,0,2.4,0,1.67,425,129,11,0.235,66,0.79,15,0.72,1.59,12,0,0,0,0.085,0.021,0,0,0.20
Pera,55,82.7,0.7,0.4,0,0.02,0.08,0.09,0,0.09,0.001,0,0,0,12.1,15.2,9.8,0,3.1,0,0.40,2,129,8,0.082,10,0.19,7,0.1,0.16,7,0,1,0,0.030,0.040,0,3.0,0
Bollitos de anís,330,31.6,7.6,6.8,41,3.58,1.84,0.56,0.21,0.44,0.037,0.008,0,0,59.5,63.9,15.4,15.2,2.8,0,0.442,533,129,13,0.100,109,2.96,16,0.86,2.10,200,97,53,52,0.528,0.214,0.11,0.0,0.09
Salchicha de viena light,140,63.8,12.0,9.5,40,1.53,3.81,0.23,0,0.69,0.084,0,0,0,1.6,1.6,0.9,0,0,0,3.1,744,129,8,0.065,191,1.15,11,1.96,2.30,4,0,0,0,0.050,0.100,1.40,1.0,0.96
Supportan drink (mililitro),150,76.0,10.0,6.7,20,2.80,1.60,2.30,0,1.16,0.060,0,0.500,0.210,12.4,13.9,7.5,7.5,1.5,0,x,47,129,203,0.37,120,2.50,26,2,3.70,105,62,150,150,0.300,0.400,0.75,18.8,2.50
"Tostaditas saladas, saborizadas, producto tipo copetín",474,2.6,10.7,18.9,0,3.57,13.00,2.00,0,1.90,0.100,0,0,0,65.5,67.9,3.6,3.6,2.4,0,x,714,128,9,x,105,3.32,18,0.56,1.94,228,123,0,0,0.526,0.144,0,0,0
Queso Gruyére,407,37.1,28.6,32.3,110,18.91,10.04,1.73,1.18,1.21,0.520,0,0,0,0.4,0.4,0.4,0,0,0,4.90,542,128,1080,0.032,698,0.26,36,3.9,0.11,10,0,271,268,0.040,0.279,1.60,0,0.60
Supportan (mililitro),138,70.9,10.0,6.7,0,2.80,1.60,2.30,0,0.60,0,0,0.500,0.210,9.4,12.4,6.2,6.2,3.0,0,x,48,128,203,0.375,120,2.50,26,2,3.70,105,62,150,3,0.300,0.400,0.75,37.6,2.50
"Masa de pizza, preparada a partir de polvo premezcla",248,47.6,7.1,3.4,0,0.39,0.76,1.92,0,1.89,0.028,0,0,0,47.2,51.9,0.5,0.3,2.9,0,0.38,540,127,8,0.10,99,2.88,16,0.80,1.99,298,147,0,0,0.489,0.154,0,0,0
"Masa de pizza, preparada a partir de polvo premezcla, SIN TACC",248,47.6,7.1,3.4,0,0.39,0.76,1.92,0,1.89,0.028,0,0,0,47.2,51.9,0.5,0.3,2.9,0,0.38,540,127,8,0.10,99,2.88,16,0.80,1.99,202,99,0,0,0.489,0.154,0,0,0
Alfajor de dulce de leche,381,14.3,6.6,8.9,13,3.90,4.67,0.70,0.20,0.67,0.035,0,0,0,68.5,70.2,42.4,42.4,1.7,0,x,162,127,92,0.09,108,1.60,16,1,1.94,93,48,20,20,0.195,0.287,0.11,0,0
Alfajor de maicena,405,8.0,6.3,13.4,40,6.30,4.37,1.40,0.09,1.26,0.056,0,0,0,64.9,71.7,31.1,29.0,1.2,0,0.7,161,127,78,0.1,95,1.23,14,0.5,0.49,49,23,32,32,0.124,0.202,0.20,0.8,0
Minitorta bañada,403,18.9,7.6,17.0,21,9.50,6.50,3.00,0.65,2.91,0.090,0,0,0,55.0,56.5,36.0,36.0,1.5,0,x,135,127,92,0.09,108,1.60,16,0.5,1.94,93,48,20,20,0.195,0.287,0.11,0,0.09
"Pan para panchos o hamburgue- sas, envasado",252,36.4,8.9,3.3,0,0.70,0.60,1.60,0.03,1.44,0.166,0,0,0,46.7,49.4,5.7,5.7,2.7,0,1.98,490,126,144,0.101,98,3.61,23,0.74,2.02,171,86,0,0,0.533,0.243,0,0,0
Queso Cremoso,310,48.7,20.4,24.3,70,13.66,6.46,1.15,0.73,0.61,0.105,0,0,0,2.5,2.5,1.8,0,0,0,4.07,704,126,690,0.025,467,0.18,29,3.06,0.04,x,0,157,155,0.048,0.230,1.75,0,1.08
"Queso pasta blanda, PROMEDIO *",310,48.7,20.4,24.3,70,13.66,6.46,1.15,0.73,0.61,0.105,0,0,0,2.5,2.5,1.8,0,0,0,4.07,704,126,690,0.025,467,0.18,29,3.06,0.04,x,0,157,155,0.048,0.230,1.75,0,1.08
"Chuchu o chayote, crudo",16,94.2,0.8,0.1,0,0.03,0.01,0.06,0,0.02,0.036,0,0,0,2.8,4.5,1.7,0,1.7,0,0.3,2,125,17,0.123,18,0.34,12,0.74,0.47,93,0,0,0,0.025,0.029,0,7.7,0
Anchi,116,76.4,2.8,2.1,2.1,0.43,0.33,0.89,0.03,0.73,0.151,0,0,0,21.6,23.3,11.1,8.0,1.7,0,0.50,22,125,45,0.06,52,0.53,10,0.24,0.46,13,0,10,6,0.043,0.081,0.16,3.7,0.01
"Tortillas de trigo, envasadas",288,32.0,8.2,8.0,0,2.92,1.75,2.29,0.05,2.05,0.214,0,0,0,45.9,49.4,3.7,1.7,3.5,0,2.45,736,125,146,0.104,206,3.63,22,0.53,4.42,149,79,0,0,0.503,0.282,0,0,0
Ricota descremada,137,74.4,11.4,7.9,31,4.93,2.31,0.26,0.24,0.18,0.078,0,0,0,5.1,5.1,0.3,0,0,0,1.15,99,125,272,0.034,183,0.44,15,1.34,0.08,13,0,107,105,0.021,0.185,0.29,0,0.24
Alfajor de arroz,486,8.2,6.8,26.8,0,17.70,7.50,1.00,0.30,0.95,0.050,0,0,0,54.5,58.2,20.5,20.5,3.7,0,x,56,125,5,0.151,140,0.58,55,1.01,2.93,4,0,0,0,0.154,0.045,0,0,0
Barra de arroz rellena bañada,501,2.5,10.0,24.5,0,16.50,7.00,0.50,0,0.48,0,0,0,0,60.0,63.0,20.5,20.5,3.0,0,x,100,125,5,0.151,140,0.58,55,1.01,2.93,4,0,0,0,0.154,0.045,0,0,0
Postre de leche listo para consu- mir light,93,78.0,3.7,1.3,5.9,0.85,0.38,0.05,0.08,0.04,0.005,0,0,0,16.5,17.0,11.0,7.0,0.5,0,x,110,124,125,0.01,84,0.07,10,0.33,0.08,5,0,18,17,0.027,0.167,0.45,0.2,0.02
Coquitos (panadería),440,11.5,3.0,22.6,0,20.10,1.61,0.81,0,0.76,0.048,0,0,0,56.1,61.2,45.2,45.2,5.1,0,1.71,200,123,5,0.269,68,0.82,29,0.73,0.22,3,3,0,0,0.020,0.060,0,0,0
Manzana sin piel,59,84.1,0.3,0.4,0,0.02,0.01,0.04,0,0.03,0.007,0,0,0,13.6,14.9,10.1,0,1.3,0,0.30,5,122,4,0.031,9,0.07,4,0.05,0.20,0,0,2,0,0.019,0.028,0,2.8,0
Queso Chubut,337,42.1,25.9,24.9,70,13.66,6.46,1.15,0.75,0.80,0.345,0,0,0,2.2,2.2,2.2,0,0,0,3.94,819,121,700,0.036,546,0.24,29,3.9,0.06,21,0,165,164,0.030,0.334,1.54,0,0.50
Queso de máquina,356,41.5,24.9,27.4,114,17.61,7.75,0.66,0.82,0.46,0.197,0,0,0,2.2,2.2,2.2,0,0,0,3.94,819,121,700,0.036,546,0.24,29,3.9,0.06,21,0,165,164,0.030,0.334,1.54,0,0.50
Queso Holanda,356,41.5,24.9,27.4,114,17.61,7.75,0.66,0.82,0.46,0.197,0,0,0,2.2,2.2,2.2,0,0,0,3.94,819,121,700,0.036,546,0.24,29,3.9,0.06,21,0,165,164,0.030,0.334,1.54,0,0.50
"Queso pasta semidura, PROME- DIO ***",356,41.5,24.9,27.4,114,17.61,7.75,0.66,0.82,0.46,0.197,0,0,0,2.2,2.2,2.2,0,0,0,3.94,819,121,700,0.036,546,0.24,29,3.9,0.06,21,0,165,164,0.030,0.334,1.54,0,0.80
Pan árabe,261,32.1,9.1,1.2,0,0.17,0.11,0.54,0,0.51,0.024,0,0,0,53.5,55.7,1.3,1.3,2.2,0,1.9,536,120,86,0.168,97,2.62,26,0.84,1.10,165,83,0,0,0.599,0.160,0,0,0
"Queso blanco semidescremado, untable",128,76.5,7.6,8.4,22,4.90,1.80,0.20,0.25,0.11,0.017,0,0,0,5.5,5.5,3.3,0,0,0,2.03,182,120,99,0.018,129,0.11,10,0.7,0.10,30,0,149,134,0.040,0.340,0.40,0,0.10
"Bizcochos de grasa (panadería) / Criollitos, Libritos (pan con grasa)",392,17.4,7.0,17.4,18,8.02,6.68,2.10,0.62,1.94,0.166,0,0,0,51.8,56.3,5.0,4.8,2.8,0,1.8,580,119,8,0.10,94,2.84,16,0.7,1.84,202,103,0,0,0.470,0.140,0,0,0
"Choclo, enlatado cremoso",80,78.2,1.7,0.4,0,0.07,0.12,0.20,0,0.19,0.006,0,0,0,17.4,18.6,6.1,0,1.2,0,0.98,261,119,4,0.022,40,0.31,15,0.56,0.96,45,0,0,0,0.025,0.053,0,4.6,0
Galleta de grasa con chicharrón,392,17.4,7.0,17.4,18,8.02,6.68,2.10,0,1.94,0.166,0,0,0,51.8,56.3,5.0,4.8,2.8,0,1.8,580,119,8,0.1,94,2.84,16,0.7,1.84,198,104,0,0,0.470,0.140,0,0,0
Pan de miga,241,36.4,7.2,2.1,0,0.76,0.62,0.44,0,0.41,0.028,0,0,0,48.3,52.9,0.2,0,2.9,0,1.74,557,119,8,0.10,95,2.91,16,0.62,2.02,204,106,0,0,0.475,0.138,0,0,0
Turrón de maní con oblea tipo go- losina,393,10.3,7.9,8.2,0,1.80,3.80,2.40,0,2.28,0.114,0,0,0,71.8,73.6,38.0,38.0,1.8,0,x,45,119,10,0.09,82,1.61,26,0.5,2.38,107,54,0,0,0.273,0.090,0,0,0
Facturas simples,395,23.2,8.2,21.0,33,9.85,6.89,3.10,1.00,3.00,0.100,0,0,0,43.2,45.8,11.3,11.3,2.6,0,1.6,384,118,37,0.08,105,2.03,16,0.75,2.19,130,60,103,103,0.388,0.241,0.16,0.2,0
Galletitas tipo copetín,500,3.1,6.6,26.4,0,5.56,6.55,13.14,1.08,11.48,1.485,0.010,0,0,59.0,61.3,8.2,8.2,2.3,0,2.49,726,118,120,0.104,248,4.03,18,0.49,4.35,150,84,0,0,0.416,0.456,0,0,0
Madalenas,368,24.7,5.8,15.6,48,5.30,5.80,5.60,0.09,4.90,0.660,0.023,0,0.007,51.1,51.9,27.7,27.7,0.8,0,x,363,118,163,0.067,124,2.01,14,0.51,1.71,69,33,36,36,0.208,0.248,0.17,0,0.60
Madalenas fortificadas,364,23.3,5.0,13.0,48,3.30,4.64,4.48,0,3.92,0.528,0.018,0,0.006,56.7,58.7,29.3,29.3,2.0,0,x,145,118,163,0.067,124,3.40,14,2.3,4.56,226,133,36,36,0.330,0.390,0,0,0
Madalenas rellenas,371,23.4,5.4,13.5,48,2.63,6.30,5.96,0.60,5.22,0.707,0.023,0,0.007,57.0,57.7,30.0,30.0,0.7,0,x,363,118,163,0.067,124,2.01,14,0.51,1.71,69,33,36,36,0.208,0.248,0.17,0,0.60
